start_node,end_node,way_id,day,month,year,hour,agg,tracker_speed
132939904,132939903,233822655,3,4,2019,21,2.0,7.0
132939904,132939903,233822655,3,4,2019,22,2.0,27.0
132939904,132939903,233822655,4,4,2019,0,0.0,20.5
132939904,132939903,233822655,4,4,2019,1,1.0,18.0
132939904,132939903,233822655,4,4,2019,2,1.0,28.5
132939904,132939903,233822655,4,4,2019,3,1.0,29.0
132939904,132939903,233822655,4,4,2019,4,1.0,27.0
132939904,132939903,233822655,4,4,2019,5,1.0,55.0
132939904,132939903,233822655,4,4,2019,6,1.0,45.0
132939904,132939903,233822655,4,4,2019,8,1.0,26.0
132939904,132939903,233822655,4,4,2019,12,1.0,29.0
132939904,132939903,233822655,4,4,2019,15,1.0,0.0
132939904,132939903,233822655,4,4,2019,17,2.0,0.0
132939904,132939903,233822655,4,4,2019,18,2.0,5.0
132939904,132939903,233822655,4,4,2019,19,2.0,16.5
132939904,132939903,233822655,4,4,2019,21,2.0,33.0
132939904,132939903,233822655,4,4,2019,22,2.0,26.0
132939904,132939903,233822655,5,4,2019,1,1.0,35.0
132939904,132939903,233822655,5,4,2019,9,1.0,28.5
132939904,132939903,233822655,5,4,2019,11,1.0,4.5
132939904,132939903,233822655,5,4,2019,12,1.0,8.0
132939904,132939903,233822655,5,4,2019,13,1.0,14.6
132939904,132939903,233822655,5,4,2019,15,1.0,27.5
132939904,132939903,233822655,5,4,2019,16,2.0,20.0
132939904,132939903,233822655,5,4,2019,17,2.0,17.0
132939904,132939903,233822655,5,4,2019,20,2.0,25.5
132939904,132939903,233822655,5,4,2019,21,2.0,31.0
132939904,132939903,233822655,5,4,2019,22,2.0,35.666666666666664
132939904,132939903,233822655,6,4,2019,0,0.0,2.5
132939904,132939903,233822655,6,4,2019,1,1.0,32.0
132939904,132939903,233822655,6,4,2019,3,1.0,37.0
132939904,132939903,233822655,6,4,2019,6,1.0,36.0
132939904,132939903,233822655,6,4,2019,7,1.0,32.5
132939904,132939903,233822655,6,4,2019,8,1.0,2.75
132939904,132939903,233822655,6,4,2019,10,1.0,28.0
132939904,132939903,233822655,6,4,2019,13,1.0,36.5
132939904,132939903,233822655,6,4,2019,14,1.0,27.5
132939904,132939903,233822655,6,4,2019,15,1.0,22.5
